Date,Rating,Review_No_x,Review_No_y,Perc
2017-05-26,2,4,124,0.03225806451612903
2017-05-26,3,3,124,0.024193548387096774
2017-05-26,4,19,124,0.1532258064516129
2017-05-26,5,93,124,0.75
2017-05-27,1,7,108,0.06481481481481481
2017-05-27,2,1,108,0.009259259259259259
2017-05-27,3,6,108,0.05555555555555555
2017-05-27,4,13,108,0.12037037037037036
2017-05-27,5,81,108,0.75
2017-05-28,1,3,128,0.0234375
2017-05-28,2,1,128,0.0078125
2017-05-28,3,3,128,0.0234375
2017-05-28,4,18,128,0.140625
2017-05-28,5,103,128,0.8046875
2017-05-29,1,8,104,0.07692307692307693
2017-05-29,2,1,104,0.009615384615384616
2017-05-29,3,6,104,0.057692307692307696
2017-05-29,4,12,104,0.11538461538461539
2017-05-29,5,77,104,0.7403846153846154
2017-05-30,1,11,93,0.11827956989247312
2017-05-30,2,1,93,0.010752688172043012
2017-05-30,3,1,93,0.010752688172043012
2017-05-30,4,7,93,0.07526881720430108
2017-05-30,5,73,93,0.7849462365591398
2017-05-31,1,10,124,0.08064516129032258
2017-05-31,3,4,124,0.03225806451612903
2017-05-31,4,17,124,0.13709677419354838
2017-05-31,5,93,124,0.75
2017-06-01,1,10,117,0.08547008547008547
2017-06-01,2,1,117,0.008547008547008548
2017-06-01,3,4,117,0.03418803418803419
2017-06-01,4,22,117,0.18803418803418803
2017-06-01,5,80,117,0.6837606837606838
2017-06-02,1,13,121,0.10743801652892562
2017-06-02,2,4,121,0.03305785123966942
2017-06-02,3,7,121,0.05785123966942149
2017-06-02,4,17,121,0.14049586776859505
2017-06-02,5,80,121,0.6611570247933884
2017-06-03,1,8,118,0.06779661016949153
2017-06-03,2,1,118,0.00847457627118644
2017-06-03,3,3,118,0.025423728813559324
2017-06-03,4,11,118,0.09322033898305085
2017-06-03,5,95,118,0.8050847457627118
2017-06-04,1,8,134,0.05970149253731343
2017-06-04,2,1,134,0.007462686567164179
2017-06-04,3,6,134,0.04477611940298507
2017-06-04,4,14,134,0.1044776119402985
2017-06-04,5,105,134,0.7835820895522388
2017-06-05,1,7,138,0.050724637681159424
2017-06-05,2,4,138,0.028985507246376812
2017-06-05,3,2,138,0.014492753623188406
2017-06-05,4,14,138,0.10144927536231885
2017-06-05,5,111,138,0.8043478260869565
2017-06-06,1,9,129,0.06976744186046512
2017-06-06,2,3,129,0.023255813953488372
2017-06-06,3,4,129,0.031007751937984496
2017-06-06,4,16,129,0.12403100775193798
2017-06-06,5,97,129,0.751937984496124
2017-06-07,1,13,133,0.09774436090225563
2017-06-07,2,3,133,0.022556390977443608
